id,season,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match
107,2009,Kolkata,Eden Gardens,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,7,0,Glenn Maxwell
108,2009,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,0,9,Prithvi Shaw
109,2009,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Kings,24,0,Nicholas Pooran
110,2009,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,0,1,Suryakumar Yadav
111,2009,Kolkata,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,2,Pat Cummins
112,2009,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,38,0,Mayank Agarwal
113,2009,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,43,0,Jonny Bairstow
114,2009,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,0,9,Hardik Pandya
115,2009,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,4,0,Kieron Pollard
116,2009,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,94,0,Kane Williamson
117,2009,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,0,4,Rishabh Pant
118,2009,Kolkata,Eden Gardens,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,2,Mohammed Siraj
119,2009,Kolkata,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,2,0,Mohammed Siraj
120,2009,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,4,0,Nicholas Pooran
121,2010,Kolkata,Eden Gardens,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5,Dinesh Karthik
122,2010,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,82,0,Hardik Pandya
123,2010,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,27,0,Mayank Agarwal
124,2010,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,Kolkata Knight Riders,0,8,Shubman Gill
125,2010,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,0,6,Trent Boult
126,2010,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,0,7,Ravindra Jadeja
127,2010,Kolkata,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,3,0,Virat Kohli
128,2010,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,1,Trent Boult
129,2010,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Chennai Super Kings,0,2,MS Dhoni
130,2010,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,5,0,MS Dhoni
131,2010,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,13,0,David Warner
132,2010,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,27,0,Trent Boult
133,2010,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Rajasthan Royals,0,5,Yuzvendra Chahal
134,2010,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Punjab Kings,0,6,Mohammed Shami
135,2010,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,30,0,Axar Patel
136,2010,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,0,5,Trent Boult
137,2010,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,8,0,David Warner
138,2010,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,15,0,Ben Stokes
139,2010,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,0,0,Kane Williamson
140,2010,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Sunrisers Hyderabad,2,0,David Warner
141,2010,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,6,0,Rashid Khan
142,2010,Kolkata,Eden Gardens,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5,AB de Villiers
143,2010,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,83,0,Mohammed Shami
144,2010,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Chennai Super Kings,0,1,Deepak Chahar
145,2010,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,0,2,Prithvi Shaw
146,2010,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5,Pat Cummins
147,2010,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,0,2,Rohit Sharma
148,2010,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,0,3,Pat Cummins
149,2010,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,0,6,Sanju Samson
150,2010,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Kolkata Knight Riders,0,9,Shubman Gill
151,2010,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,27,0,Rashid Khan
152,2010,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Sunrisers Hyderabad,0,4,Kane Williamson
153,2010,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,55,0,Faf du Plessis
154,2010,Kolkata,Eden Gardens,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5,Dinesh Karthik
155,2010,Kolkata,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,0,6,Kieron Pollard
156,2010,Mumbai,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0,0,Ambati Rayudu
157,2010,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,0,2,Ambati Rayudu
158,2010,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,bat,Punjab Kings,3,0,Nicholas Pooran
159,2010,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Delhi Capitals,20,0,Anrich Nortje
160,2010,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,0,Venkatesh Iyer
161,2010,Kolkata,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7,Glenn Maxwell
162,2010,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Capitals,0,7,Axar Patel
163,2010,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,2,Deepak Chahar
164,2010,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,38,0,Rashid Khan
165,2010,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,53,0,Faf du Plessis
166,2010,Kolkata,Eden Gardens,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7,Glenn Maxwell
167,2010,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,3,AB de Villiers
168,2010,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,0,4,Chris Gayle
169,2010,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,0,6,Ben Stokes
170,2010,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,0,3,Rohit Sharma
171,2010,Mumbai,Wankhede Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Mumbai Indians,0,6,Jasprit Bumrah
172,2010,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Delhi Capitals,0,1,David Warner
173,2010,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5,Mohammed Siraj
